GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
C15orf60	0.20	5	0.23	0.591	10759	0.949	0.409	7243	0.934
WDPCP	0.20	5	0.23	0.591	10760	0.949	0.409	7242	0.934
CELSR2	0.18	4	0.23	0.591	10761	0.949	0.409	7241	0.934
ZNF878	0.18	4	0.23	0.591	10762	0.949	0.409	7240	0.934
GFPT2	0.20	5	0.23	0.591	10763	0.949	0.409	7239	0.934
CISH	0.20	5	0.23	0.591	10764	0.949	0.409	7238	0.934
TIGD6	0.20	5	0.23	0.591	10765	0.949	0.409	7237	0.934
FBXW9	0.20	5	0.23	0.591	10766	0.949	0.409	7236	0.934
MED9	0.20	5	0.23	0.591	10767	0.949	0.409	7235	0.934
ZNF461	0.20	5	0.23	0.591	10768	0.949	0.409	7234	0.934
GANC	0.20	5	0.23	0.591	10769	0.949	0.409	7233	0.934
GALR3	0.20	5	0.23	0.591	10770	0.949	0.409	7232	0.934
PIGX	0.20	5	0.23	0.591	10771	0.949	0.409	7231	0.934
CCDC130	0.20	5	0.23	0.591	10772	0.949	0.409	7230	0.934
GALNT8	0.20	5	0.23	0.591	10773	0.949	0.409	7229	0.934
ANKRD7	0.18	4	0.23	0.591	10774	0.949	0.409	7228	0.934
C8orf44	0.09	1	0.23	0.591	10775	0.949	0.409	7227	0.934
CSRNP3	0.20	5	0.23	0.591	10776	0.949	0.409	7226	0.934
PAK3	0.20	5	0.23	0.591	10777	0.949	0.409	7225	0.934
PRPF18	0.20	5	0.23	0.591	10778	0.949	0.409	7224	0.934
RBM33	0.20	5	0.23	0.591	10779	0.949	0.409	7223	0.934
E2F2	0.20	5	0.23	0.591	10780	0.949	0.409	7222	0.934
PUM1	0.20	5	0.23	0.592	10781	0.949	0.408	7221	0.934
APPL2	0.20	5	0.23	0.592	10782	0.949	0.408	7220	0.934
PRM2	0.20	5	0.23	0.592	10783	0.949	0.408	7219	0.934
SLC43A1	0.20	5	0.23	0.592	10784	0.949	0.408	7218	0.934
BCL2L1	0.21	5	0.23	0.592	10785	0.949	0.408	7217	0.934
MUC16	0.21	5	0.23	0.592	10786	0.949	0.408	7216	0.934
SCUBE1	0.21	5	0.23	0.592	10787	0.949	0.408	7215	0.934
KLF4	0.21	5	0.23	0.592	10788	0.949	0.408	7214	0.934
TMIGD2	0.21	5	0.23	0.592	10789	0.949	0.408	7213	0.934
ORAI1	0.21	5	0.23	0.592	10790	0.949	0.408	7212	0.934
C4orf27	0.18	4	0.23	0.592	10791	0.949	0.408	7211	0.934
C4orf19	0.21	5	0.23	0.592	10792	0.949	0.408	7210	0.934
MYBPC1	0.21	5	0.23	0.592	10793	0.949	0.408	7209	0.934
HSF1	0.21	5	0.23	0.592	10794	0.949	0.408	7208	0.934
DHRS13	0.21	5	0.23	0.592	10795	0.949	0.408	7207	0.934
SSBP3	0.19	4	0.23	0.592	10796	0.949	0.408	7206	0.934
CASZ1	0.21	5	0.23	0.592	10797	0.949	0.408	7205	0.934
B4GALNT1	0.21	5	0.23	0.592	10798	0.949	0.408	7204	0.934
POLRMT	0.21	5	0.23	0.592	10799	0.949	0.408	7203	0.934
ARNT	0.21	5	0.23	0.592	10800	0.949	0.408	7202	0.934
EAPP	0.21	5	0.23	0.592	10801	0.949	0.408	7201	0.934
TMEM179	0.21	5	0.23	0.592	10802	0.949	0.408	7200	0.934
BRI3	0.21	5	0.23	0.592	10803	0.949	0.408	7199	0.934
OSBPL3	0.21	5	0.23	0.592	10804	0.949	0.408	7198	0.934
SCT	0.21	5	0.23	0.592	10805	0.949	0.408	7197	0.934
MYH11	0.21	5	0.23	0.592	10806	0.949	0.408	7196	0.934
TIGD3	0.21	5	0.23	0.592	10807	0.949	0.408	7195	0.934
RAB31	0.21	5	0.23	0.592	10808	0.949	0.408	7194	0.934
ARHGAP35	0.21	5	0.23	0.593	10809	0.949	0.407	7193	0.934
TMEM86A	0.21	5	0.23	0.593	10810	0.949	0.407	7192	0.934
NREP	0.21	5	0.23	0.593	10811	0.949	0.407	7191	0.934
MAP3K13	0.21	5	0.23	0.593	10812	0.949	0.407	7190	0.934
RIMKLB	0.21	5	0.23	0.593	10813	0.949	0.407	7189	0.934
TSPAN4	0.21	5	0.23	0.593	10814	0.949	0.407	7188	0.934
ASB6	0.21	5	0.23	0.593	10815	0.949	0.407	7187	0.934
EGFL7	0.21	5	0.23	0.593	10816	0.949	0.407	7186	0.934
FBP1	0.21	5	0.23	0.593	10817	0.949	0.407	7185	0.934
PADI2	0.21	5	0.24	0.593	10818	0.949	0.407	7184	0.934
DLG4	0.21	5	0.24	0.593	10819	0.949	0.407	7183	0.934
HOXC6	0.21	5	0.24	0.593	10820	0.949	0.407	7182	0.934
LCE3A	0.21	5	0.24	0.593	10821	0.949	0.407	7181	0.934
GABRD	0.22	5	0.24	0.593	10822	0.949	0.407	7180	0.934
TNNI3	0.22	5	0.24	0.593	10823	0.949	0.407	7179	0.934
RBBP6	0.22	5	0.24	0.593	10824	0.949	0.407	7178	0.934
MLYCD	0.19	4	0.24	0.593	10825	0.949	0.407	7177	0.934
SNURF	0.19	4	0.24	0.593	10826	0.949	0.407	7176	0.934
ENPP2	0.22	5	0.24	0.593	10827	0.949	0.407	7175	0.934
ACSL3	0.22	5	0.24	0.594	10828	0.949	0.406	7174	0.934
PSMD1	0.22	5	0.24	0.594	10829	0.949	0.406	7173	0.934
MTERF	0.22	5	0.24	0.594	10830	0.949	0.406	7172	0.934
MTERFD1	0.20	4	0.24	0.594	10831	0.949	0.406	7171	0.934
FEZF2	0.22	5	0.24	0.594	10832	0.949	0.406	7170	0.934
ACAD9	0.22	5	0.24	0.594	10833	0.949	0.406	7169	0.934
HYOU1	0.22	5	0.24	0.594	10834	0.949	0.406	7168	0.934
GRIA1	0.22	5	0.24	0.594	10835	0.949	0.406	7167	0.934
TMEM86B	0.22	5	0.24	0.594	10836	0.949	0.406	7166	0.934
GYPC	0.28	8	0.24	0.594	10837	0.949	0.406	7165	0.934
FAM212B	0.22	5	0.24	0.594	10838	0.949	0.406	7164	0.934
TARM1	0.22	5	0.24	0.594	10839	0.949	0.406	7163	0.934
ID4	0.22	5	0.24	0.594	10840	0.949	0.406	7162	0.934
UBTD1	0.22	5	0.24	0.594	10841	0.949	0.406	7161	0.934
MYLK3	0.22	5	0.24	0.594	10842	0.949	0.406	7160	0.934
ZBED1	0.22	5	0.24	0.594	10843	0.949	0.406	7159	0.934
TGFBRAP1	0.22	5	0.24	0.594	10844	0.949	0.406	7158	0.934
CEP57	0.22	5	0.24	0.594	10845	0.949	0.406	7157	0.934
IL36B	0.20	4	0.24	0.594	10846	0.949	0.406	7156	0.934
NRK	0.22	5	0.24	0.594	10847	0.949	0.406	7155	0.934
VKORC1	0.24	6	0.24	0.594	10848	0.949	0.406	7154	0.934
SLC35C1	0.20	4	0.24	0.594	10849	0.949	0.406	7153	0.934
SGK223	0.22	5	0.24	0.594	10850	0.949	0.406	7152	0.934
C11orf63	0.22	5	0.24	0.594	10851	0.949	0.406	7151	0.934
DDX6	0.22	5	0.24	0.594	10852	0.949	0.406	7150	0.934
IER3	0.22	5	0.24	0.595	10853	0.949	0.405	7149	0.934
NR2C2	0.22	5	0.24	0.595	10854	0.949	0.405	7148	0.934
HLA-DRB1	0.20	4	0.24	0.595	10855	0.949	0.405	7147	0.934
TGM3	0.22	5	0.24	0.595	10856	0.949	0.405	7146	0.934
HCN2	0.22	5	0.24	0.595	10857	0.949	0.405	7145	0.934
ZNF585B	0.22	5	0.24	0.595	10858	0.949	0.405	7144	0.934
DDT	0.17	3	0.24	0.595	10859	0.949	0.405	7143	0.934
STAT5A	0.23	5	0.24	0.595	10860	0.949	0.405	7142	0.934
VPS9D1	0.23	5	0.24	0.595	10861	0.949	0.405	7141	0.934
ENTPD5	0.23	5	0.24	0.595	10862	0.949	0.405	7140	0.934
RRP1	0.23	5	0.24	0.595	10863	0.949	0.405	7139	0.934
EIF3E	0.23	5	0.24	0.595	10864	0.949	0.405	7138	0.934
MAS1L	0.23	5	0.24	0.595	10865	0.949	0.405	7137	0.934
ZNF500	0.23	5	0.24	0.595	10866	0.949	0.405	7136	0.934
RAB22A	0.20	4	0.24	0.595	10867	0.949	0.405	7135	0.934
ITPR3	0.23	5	0.24	0.595	10868	0.949	0.405	7134	0.934
LRIT1	0.23	5	0.24	0.595	10869	0.949	0.405	7133	0.934
C12orf71	0.23	5	0.24	0.595	10870	0.949	0.405	7132	0.934
FN3K	0.23	5	0.24	0.595	10871	0.949	0.405	7131	0.934
FAM98B	0.23	5	0.24	0.595	10872	0.949	0.405	7130	0.934
TMEM82	0.23	5	0.24	0.595	10873	0.949	0.405	7129	0.934
LY75-CD302	0.10	1	0.24	0.595	10874	0.949	0.405	7128	0.934
ADAM12	0.23	5	0.24	0.595	10875	0.949	0.405	7127	0.934
CYB5R1	0.23	5	0.24	0.595	10876	0.949	0.405	7126	0.934
SYNPO	0.23	5	0.24	0.596	10877	0.949	0.404	7125	0.934
UBQLN3	0.23	5	0.24	0.596	10878	0.949	0.404	7124	0.934
ZNF732	0.23	5	0.24	0.596	10879	0.949	0.404	7123	0.934
SHISA5	0.23	5	0.24	0.596	10880	0.949	0.404	7122	0.934
C9orf131	0.23	5	0.24	0.596	10881	0.949	0.404	7121	0.934
SLC22A3	0.23	5	0.24	0.596	10882	0.949	0.404	7120	0.934
PRR15	0.23	5	0.24	0.596	10883	0.949	0.404	7119	0.934
AKR7A2	0.23	5	0.24	0.596	10884	0.949	0.404	7118	0.934
PLD4	0.23	5	0.24	0.596	10885	0.949	0.404	7117	0.934
UNC13B	0.23	5	0.24	0.596	10886	0.949	0.404	7116	0.934
C6orf57	0.23	5	0.24	0.596	10887	0.949	0.404	7115	0.934
AMT	0.23	5	0.24	0.596	10888	0.949	0.404	7114	0.934
DEFB121	0.18	3	0.24	0.596	10889	0.949	0.404	7113	0.934
SLCO4C1	0.23	5	0.24	0.596	10890	0.949	0.404	7112	0.934
MYL5	0.23	5	0.24	0.596	10891	0.949	0.404	7111	0.934
ABCD3	0.23	5	0.24	0.596	10892	0.949	0.404	7110	0.934
STAC	0.23	5	0.24	0.596	10893	0.949	0.404	7109	0.934
KLF7	0.24	5	0.24	0.596	10894	0.949	0.404	7108	0.934
ARID5B	0.24	5	0.24	0.596	10895	0.949	0.404	7107	0.934
SLC5A7	0.24	5	0.24	0.596	10896	0.949	0.404	7106	0.934
KIAA1147	0.24	5	0.24	0.596	10897	0.949	0.404	7105	0.934
C5orf49	0.21	4	0.24	0.596	10898	0.949	0.404	7104	0.934
HOXB1	0.24	5	0.24	0.596	10899	0.949	0.404	7103	0.934
COL18A1	0.24	5	0.24	0.596	10900	0.949	0.404	7102	0.934
SERINC5	0.24	5	0.24	0.596	10901	0.949	0.404	7101	0.934
PRAMEF5	0.11	1	0.24	0.596	10902	0.949	0.404	7100	0.934
C2orf73	0.24	5	0.24	0.597	10903	0.949	0.403	7099	0.934
ADAT2	0.24	5	0.24	0.597	10904	0.949	0.403	7098	0.934
TSKS	0.24	5	0.24	0.597	10905	0.949	0.403	7097	0.934
KIAA1804	0.24	5	0.24	0.597	10906	0.949	0.403	7096	0.934
REXO2	0.24	5	0.24	0.597	10907	0.949	0.403	7095	0.934
SLIT3	0.24	5	0.24	0.597	10908	0.949	0.403	7094	0.934
TMC3	0.24	5	0.25	0.597	10909	0.949	0.403	7093	0.934
ARL14EPL	0.21	4	0.25	0.597	10910	0.949	0.403	7092	0.934
PLA2G2D	0.24	5	0.25	0.597	10911	0.949	0.403	7091	0.934
UBP1	0.24	5	0.25	0.597	10912	0.949	0.403	7090	0.934
MAML3	0.24	5	0.25	0.597	10913	0.949	0.403	7089	0.934
ZNF622	0.24	5	0.25	0.597	10914	0.949	0.403	7088	0.934
SLC28A1	0.24	5	0.25	0.597	10915	0.949	0.403	7087	0.934
P2RY10	0.22	4	0.25	0.597	10916	0.949	0.403	7086	0.934
TAS2R60	0.24	5	0.25	0.597	10917	0.949	0.403	7085	0.934
KCNJ14	0.24	5	0.25	0.597	10918	0.949	0.403	7084	0.934
DGKA	0.24	5	0.25	0.597	10919	0.949	0.403	7083	0.934
ERBB2	0.24	5	0.25	0.597	10920	0.949	0.403	7082	0.934
HPX	0.24	5	0.25	0.597	10921	0.949	0.403	7081	0.934
NCF4	0.24	5	0.25	0.597	10922	0.949	0.403	7080	0.934
MYH13	0.24	5	0.25	0.597	10923	0.949	0.403	7079	0.934
UPF3A	0.24	5	0.25	0.597	10924	0.949	0.403	7078	0.934
FAM122C	0.36	11	0.25	0.597	10925	0.949	0.403	7077	0.934
AGTR2	0.19	3	0.25	0.597	10926	0.949	0.403	7076	0.934
TMEM164	0.29	7	0.25	0.597	10927	0.949	0.403	7075	0.934
DDB2	0.24	5	0.25	0.597	10928	0.949	0.403	7074	0.934
LOC81691	0.22	4	0.25	0.597	10929	0.949	0.403	7073	0.934
EPPIN	0.24	5	0.25	0.598	10930	0.949	0.402	7072	0.934
FEM1A	0.19	3	0.25	0.598	10931	0.949	0.402	7071	0.934
SEMA5B	0.24	5	0.25	0.598	10932	0.949	0.402	7070	0.934
ZNF618	0.24	5	0.25	0.598	10933	0.949	0.402	7069	0.934
SMAP1	0.24	5	0.25	0.598	10934	0.949	0.402	7068	0.934
RRAGC	0.24	5	0.25	0.598	10935	0.949	0.402	7067	0.934
ZBTB6	0.25	5	0.25	0.598	10936	0.949	0.402	7066	0.934
PPP2R2B	0.22	4	0.25	0.598	10937	0.949	0.402	7065	0.934
DSCAML1	0.25	5	0.25	0.598	10938	0.949	0.402	7064	0.934
CDK5RAP1	0.25	5	0.25	0.598	10939	0.949	0.402	7063	0.934
HELZ	0.25	5	0.25	0.598	10940	0.949	0.402	7062	0.934
EBF4	0.25	5	0.25	0.598	10941	0.949	0.402	7061	0.934
PQLC1	0.31	8	0.25	0.598	10942	0.949	0.402	7060	0.934
NKX2-4	0.25	5	0.25	0.598	10943	0.949	0.402	7059	0.934
NARS2	0.25	5	0.25	0.598	10944	0.949	0.402	7058	0.934
TAS2R31	0.25	5	0.25	0.598	10945	0.949	0.402	7057	0.934
UBE3A	0.25	5	0.25	0.598	10946	0.949	0.402	7056	0.934
PDCL3	0.25	5	0.25	0.598	10947	0.949	0.402	7055	0.934
NKAPL	0.22	4	0.25	0.598	10948	0.949	0.402	7054	0.934
SLC25A40	0.25	5	0.25	0.598	10949	0.949	0.402	7053	0.934
FBXO45	0.25	5	0.25	0.598	10950	0.949	0.402	7052	0.934
GLOD4	0.25	5	0.25	0.598	10951	0.949	0.402	7051	0.934
FEZ1	0.27	6	0.25	0.598	10952	0.949	0.402	7050	0.934
C22orf24	0.25	5	0.25	0.598	10953	0.949	0.402	7049	0.934
C15orf26	0.25	5	0.25	0.598	10954	0.949	0.402	7048	0.934
TBX18	0.25	5	0.25	0.598	10955	0.949	0.402	7047	0.934
PIK3CA	0.25	5	0.25	0.598	10956	0.949	0.402	7046	0.934
TMEM141	0.25	5	0.25	0.598	10957	0.949	0.402	7045	0.934
XPNPEP2	0.25	5	0.25	0.599	10958	0.949	0.401	7044	0.934
DOK5	0.25	5	0.25	0.599	10959	0.949	0.401	7043	0.934
MS4A14	0.25	5	0.25	0.599	10960	0.949	0.401	7042	0.934
RAPGEF5	0.25	5	0.25	0.599	10961	0.949	0.401	7041	0.934
CATSPERD	0.25	5	0.25	0.599	10962	0.949	0.401	7040	0.934
MED22	0.25	5	0.25	0.599	10963	0.949	0.401	7039	0.934
LRRC56	0.25	5	0.25	0.599	10964	0.949	0.401	7038	0.934
PLCB4	0.25	5	0.25	0.599	10965	0.949	0.401	7037	0.934
C1orf198	0.30	7	0.25	0.599	10966	0.949	0.401	7036	0.934
KDM3A	0.25	5	0.25	0.599	10967	0.949	0.401	7035	0.934
PCDHA10	0.23	4	0.25	0.599	10968	0.949	0.401	7034	0.934
PAM	0.23	4	0.25	0.599	10969	0.949	0.401	7033	0.934
NPAT	0.25	5	0.25	0.599	10970	0.949	0.401	7032	0.934
LALBA	0.25	5	0.25	0.599	10971	0.949	0.401	7031	0.934
CFHR5	0.23	4	0.25	0.599	10972	0.949	0.401	7030	0.934
USP38	0.25	5	0.25	0.599	10973	0.949	0.401	7029	0.934
METTL21A	0.26	5	0.25	0.599	10974	0.949	0.401	7028	0.934
ASNA1	0.26	5	0.25	0.599	10975	0.949	0.401	7027	0.934
GIF	0.26	5	0.25	0.599	10976	0.949	0.401	7026	0.934
FSTL3	0.26	5	0.25	0.599	10977	0.949	0.401	7025	0.934
SAMD14	0.23	4	0.25	0.599	10978	0.949	0.401	7024	0.934
SH3TC1	0.26	5	0.25	0.599	10979	0.949	0.401	7023	0.934
ZDHHC13	0.26	5	0.25	0.599	10980	0.949	0.401	7022	0.934
FMO4	0.26	5	0.25	0.599	10981	0.949	0.401	7021	0.934
IFNL3	0.23	4	0.25	0.599	10982	0.949	0.401	7020	0.934
TSPAN14	0.26	5	0.25	0.599	10983	0.949	0.401	7019	0.934
CXADR	0.26	5	0.25	0.599	10984	0.949	0.401	7018	0.934
PIK3C2B	0.26	5	0.25	0.599	10985	0.949	0.401	7017	0.934
LAT2	0.26	5	0.25	0.599	10986	0.949	0.401	7016	0.934
MS4A13	0.26	5	0.25	0.599	10987	0.949	0.401	7015	0.934
C5AR2	0.26	5	0.25	0.599	10988	0.949	0.401	7014	0.934
STMN4	0.26	5	0.25	0.6	10989	0.949	0.4	7013	0.934
HHIPL2	0.26	5	0.25	0.6	10990	0.949	0.4	7012	0.934
KLHL42	0.26	5	0.25	0.6	10991	0.949	0.4	7011	0.934
SSBP4	0.26	5	0.25	0.6	10992	0.949	0.4	7010	0.934
SYNGAP1	0.26	5	0.25	0.6	10993	0.949	0.4	7009	0.934
MEIOB	0.26	5	0.25	0.6	10994	0.949	0.4	7008	0.934
AUH	0.26	5	0.25	0.6	10995	0.949	0.4	7007	0.934
RGP1	0.26	5	0.25	0.6	10996	0.949	0.4	7006	0.934
COMMD5	0.26	5	0.25	0.6	10997	0.949	0.4	7005	0.934
BMP2K	0.26	5	0.25	0.6	10998	0.949	0.4	7004	0.934
DPH7	0.26	5	0.25	0.6	10999	0.949	0.4	7003	0.934
C16orf46	0.26	5	0.25	0.6	11000	0.949	0.4	7002	0.934
TRIM41	0.23	4	0.25	0.6	11001	0.949	0.4	7001	0.934
CA6	0.26	5	0.25	0.6	11002	0.949	0.4	7000	0.934
APOA5	0.26	5	0.25	0.6	11003	0.949	0.4	6999	0.934
UBD	0.26	5	0.25	0.6	11004	0.949	0.4	6998	0.934
VPS13D	0.26	5	0.25	0.6	11005	0.949	0.4	6997	0.934
ZNF439	0.23	4	0.25	0.6	11006	0.949	0.4	6996	0.934
BMP8B	0.26	5	0.25	0.6	11007	0.949	0.4	6995	0.934
TRANK1	0.26	5	0.25	0.6	11008	0.949	0.4	6994	0.934
CHRM1	0.26	5	0.25	0.6	11009	0.949	0.4	6993	0.934
GABRA6	0.26	5	0.25	0.6	11010	0.949	0.4	6992	0.934
MED31	0.24	4	0.25	0.6	11011	0.949	0.4	6991	0.934
TJP3	0.26	5	0.25	0.6	11012	0.949	0.4	6990	0.934
CCDC17	0.26	5	0.25	0.6	11013	0.949	0.4	6989	0.934
ZNF684	0.24	4	0.25	0.6	11014	0.949	0.4	6988	0.934
SLC9A3R2	0.26	5	0.25	0.601	11015	0.949	0.399	6987	0.934
HOXC13	0.26	5	0.25	0.601	11016	0.949	0.399	6986	0.934
KIAA0930	0.26	5	0.25	0.601	11017	0.949	0.399	6985	0.934
UBE2V2	0.27	5	0.26	0.601	11018	0.949	0.399	6984	0.934
BRE	0.27	5	0.26	0.601	11019	0.949	0.399	6983	0.934
FIGNL1	0.27	5	0.26	0.601	11020	0.949	0.399	6982	0.934
PCDHA13	0.27	5	0.26	0.601	11021	0.949	0.399	6981	0.934
PIGG	0.27	5	0.26	0.601	11022	0.949	0.399	6980	0.934
PGK2	0.27	5	0.26	0.601	11023	0.949	0.399	6979	0.934
VSIG2	0.27	5	0.26	0.601	11024	0.949	0.399	6978	0.934
ELMO1	0.38	10	0.26	0.601	11025	0.949	0.399	6977	0.934
CDR1	0.24	4	0.26	0.601	11026	0.949	0.399	6976	0.934
METTL12	0.27	5	0.26	0.601	11027	0.949	0.399	6975	0.934
MINK1	0.27	5	0.26	0.601	11028	0.949	0.399	6974	0.934
TOMM7	0.17	2	0.26	0.601	11029	0.949	0.399	6973	0.934
ZBTB2	0.27	5	0.26	0.601	11030	0.949	0.399	6972	0.934
ZNF70	0.27	5	0.26	0.601	11031	0.949	0.399	6971	0.934
ATP11A	0.27	5	0.26	0.601	11032	0.949	0.399	6970	0.934
ILK	0.27	5	0.26	0.601	11033	0.949	0.399	6969	0.934
ARMC4	0.27	5	0.26	0.601	11034	0.949	0.399	6968	0.934
TRNT1	0.27	5	0.26	0.601	11035	0.949	0.399	6967	0.934
UBXN1	0.27	5	0.26	0.601	11036	0.949	0.399	6966	0.934
ZNF559	0.38	10	0.26	0.601	11037	0.949	0.399	6965	0.934
C2orf70	0.27	5	0.26	0.601	11038	0.949	0.399	6964	0.934
PCDHGB7	0.27	5	0.26	0.601	11039	0.949	0.399	6963	0.934
FBXW2	0.27	5	0.26	0.601	11040	0.949	0.399	6962	0.934
SLC25A23	0.27	5	0.26	0.601	11041	0.949	0.399	6961	0.934
MOCS1	0.27	5	0.26	0.601	11042	0.949	0.399	6960	0.934
SLC5A4	0.27	5	0.26	0.602	11043	0.949	0.398	6959	0.934
RUVBL2	0.27	5	0.26	0.602	11044	0.949	0.398	6958	0.934
ZFP69	0.24	4	0.26	0.602	11045	0.949	0.398	6957	0.934
MED23	0.27	5	0.26	0.602	11046	0.949	0.398	6956	0.934
CSRP2	0.27	5	0.26	0.602	11047	0.949	0.398	6955	0.934
DSPP	0.27	5	0.26	0.602	11048	0.949	0.398	6954	0.934
ZNF80	0.27	5	0.26	0.602	11049	0.949	0.398	6953	0.934
MPEG1	0.27	5	0.26	0.602	11050	0.949	0.398	6952	0.934
ACBD4	0.27	5	0.26	0.602	11051	0.949	0.398	6951	0.934
LZTS1	0.27	5	0.26	0.602	11052	0.949	0.398	6950	0.934
VTCN1	0.35	8	0.26	0.602	11053	0.949	0.398	6949	0.934
ZRANB2	0.25	4	0.26	0.602	11054	0.949	0.398	6948	0.934
VWA9	0.27	5	0.26	0.602	11055	0.949	0.398	6947	0.934
LIX1	0.27	5	0.26	0.602	11056	0.949	0.398	6946	0.934
COPA	0.27	5	0.26	0.602	11057	0.949	0.398	6945	0.934
RAB11FIP1	0.27	5	0.26	0.602	11058	0.949	0.398	6944	0.934
EVA1B	0.25	4	0.26	0.602	11059	0.949	0.398	6943	0.934
CACNG2	0.28	5	0.26	0.602	11060	0.949	0.398	6942	0.934
WIPI2	0.28	5	0.26	0.602	11061	0.949	0.398	6941	0.934
NELFCD	0.28	5	0.26	0.602	11062	0.949	0.398	6940	0.934
CCDC91	0.28	5	0.26	0.602	11063	0.949	0.398	6939	0.934
PLBD2	0.28	5	0.26	0.602	11064	0.949	0.398	6938	0.934
C2CD3	0.28	5	0.26	0.602	11065	0.949	0.398	6937	0.934
GABARAPL1	0.28	5	0.26	0.602	11066	0.949	0.398	6936	0.934
TYMP	0.28	5	0.26	0.602	11067	0.949	0.398	6935	0.934
PLSCR3	0.28	5	0.26	0.602	11068	0.949	0.398	6934	0.934
IFNA1	0.22	3	0.26	0.603	11069	0.949	0.397	6933	0.934
KIF18A	0.28	5	0.26	0.603	11070	0.949	0.397	6932	0.934
NR1I3	0.28	5	0.26	0.603	11071	0.949	0.397	6931	0.934
S100A4	0.22	3	0.26	0.603	11072	0.949	0.397	6930	0.934
KAL1	0.28	5	0.26	0.603	11073	0.949	0.397	6929	0.934
RPS6KB2	0.28	5	0.26	0.603	11074	0.949	0.397	6928	0.934
LEF1	0.28	5	0.26	0.603	11075	0.949	0.397	6927	0.934
AGAP3	0.38	9	0.26	0.603	11076	0.949	0.397	6926	0.934
SERPINB2	0.28	5	0.26	0.603	11077	0.949	0.397	6925	0.934
EIF4A2	0.25	4	0.26	0.603	11078	0.949	0.397	6924	0.934
LRIG3	0.28	5	0.26	0.604	11079	0.949	0.396	6923	0.934
KRTAP1-3	0.18	2	0.26	0.604	11080	0.949	0.396	6922	0.934
SMG5	0.29	5	0.26	0.604	11081	0.949	0.396	6921	0.934
IFI27L1	0.29	5	0.26	0.604	11082	0.949	0.396	6920	0.934
HOXA5	0.29	5	0.26	0.604	11083	0.949	0.396	6919	0.934
GSX2	0.29	5	0.26	0.604	11084	0.949	0.396	6918	0.934
FAT1	0.29	5	0.26	0.604	11085	0.949	0.396	6917	0.934
FZR1	0.29	5	0.26	0.604	11086	0.949	0.396	6916	0.934
THSD4	0.29	5	0.26	0.604	11087	0.949	0.396	6915	0.934
FAM169A	0.29	5	0.26	0.604	11088	0.949	0.396	6914	0.934
SESN3	0.26	4	0.26	0.604	11089	0.949	0.396	6913	0.934
FIGN	0.29	5	0.26	0.604	11090	0.949	0.396	6912	0.934
FJX1	0.26	4	0.26	0.604	11091	0.949	0.396	6911	0.934
USE1	0.29	5	0.26	0.604	11092	0.949	0.396	6910	0.934
FAM78B	0.29	5	0.26	0.604	11093	0.949	0.396	6909	0.934
SMIM3	0.22	3	0.26	0.604	11094	0.949	0.396	6908	0.934
C2orf76	0.29	5	0.26	0.604	11095	0.949	0.396	6907	0.934
ST18	0.29	5	0.26	0.604	11096	0.949	0.396	6906	0.934
MNDA	0.26	4	0.26	0.604	11097	0.949	0.396	6905	0.934
NID2	0.29	5	0.26	0.604	11098	0.949	0.396	6904	0.934
CNGA3	0.29	5	0.26	0.604	11099	0.949	0.396	6903	0.934
CYP19A1	0.29	5	0.26	0.604	11100	0.949	0.396	6902	0.934
CDYL2	0.29	5	0.26	0.604	11101	0.949	0.396	6901	0.934
CRK	0.29	5	0.27	0.605	11102	0.949	0.395	6900	0.934
ZNF235	0.29	5	0.27	0.605	11103	0.949	0.395	6899	0.934
FOXE1	0.26	4	0.27	0.605	11104	0.949	0.395	6898	0.934
NCKAP5	0.29	5	0.27	0.605	11105	0.949	0.395	6897	0.934
HIF3A	0.29	5	0.27	0.605	11106	0.949	0.395	6896	0.934
ALG1	0.26	4	0.27	0.605	11107	0.949	0.395	6895	0.934
BAZ1A	0.29	5	0.27	0.605	11108	0.949	0.395	6894	0.934
GUCY1A3	0.29	5	0.27	0.605	11109	0.949	0.395	6893	0.934
NUB1	0.29	5	0.27	0.605	11110	0.949	0.395	6892	0.934
LYPLAL1	0.29	5	0.27	0.605	11111	0.949	0.395	6891	0.934
ZXDB	0.29	5	0.27	0.605	11112	0.949	0.395	6890	0.934
HOXD10	0.29	5	0.27	0.605	11113	0.949	0.395	6889	0.934
C2orf72	0.26	4	0.27	0.605	11114	0.949	0.395	6888	0.934
DES	0.29	5	0.27	0.605	11115	0.949	0.395	6887	0.934
CSN1S1	0.26	4	0.27	0.605	11116	0.949	0.395	6886	0.934
SBK2	0.29	5	0.27	0.605	11117	0.949	0.395	6885	0.934
PRPS2	0.30	5	0.27	0.605	11118	0.949	0.395	6884	0.934
ITGAD	0.30	5	0.27	0.605	11119	0.949	0.395	6883	0.934
C1orf226	0.30	5	0.27	0.605	11120	0.949	0.395	6882	0.934
GLT8D2	0.30	5	0.27	0.605	11121	0.949	0.395	6881	0.934
CACNB2	0.30	5	0.27	0.605	11122	0.949	0.395	6880	0.934
PLA2G6	0.27	4	0.27	0.605	11123	0.949	0.395	6879	0.934
TTC13	0.30	5	0.27	0.605	11124	0.949	0.395	6878	0.934
ARFGEF1	0.30	5	0.27	0.605	11125	0.949	0.395	6877	0.934
